Section,Subsection,Weight,Criteria / Elements,Excellent,Good,Fair,Poor,NN / Incomplete
Week 12 Update,Progress Demonstration,14%,"(1) Conduct live demonstration; (2) Project progress against the negotiated schedule; (3) Demonstration of the project; (4) Plan for completion.",Conduct demonstration of current project progress,Conduct demonstration of current project progress,Conduct demonstration of current project progress,"Describe the current project progress, without a demonstration",Project is substantially incomplete
,,,,"Project is ahead of or on-track according to the negotiated schedule","Project is on-track according to the negotiated schedule","Project is marginally behind the negotiated schedule","Project is very behind the negotiated schedule",
,,,,"Demonstrate a minimally viable solution to the project","Demonstrate substantial progress towards a minimally viable solution to the project","Demonstrate satisfactory progress towards a minimally viable solution to the project",No substantial live demonstration,
,,,,"Describe a feasible plan for completion of the project by the scheduled demonstration date.","Describe a feasible plan for completion of the project by the scheduled demonstration date.","Describe a plan for completion of as much of the project as possible by the scheduled demonstration date.","Describe a plan for completion of as much of the project as possible, by the scheduled demonstration date.",
Week 12 Update,"Extended Infrastructure, Architecture, and/or Implementation",4%,"(1) Progress of the extended infrastructure, robot software architecture, and/or implementation; (2) Plan for completion of the extended work.","Extended work is ahead of or on-track according to the negotiated schedule. Describes a feasible plan for completion of the extended work.","Extended work is on-track or marginally behind according to the negotiated schedule. Describes a plan for completion of as much of the extended work as possible.","Extended work is behind according to the negotiated schedule. Describes a plan for completion of as much of the extended work as possible.","Extended work and/or plan is substantially incomplete."
Week 12 Update,Risk Assessment,2%,"(1) Approved Activity Risk Assessment","Prepared an approved Activity Risk Assessment. Reasonable risks are captured.",,,"Activity Risk Assessment was not approved by the Week 12 update date."
Demonstration,Demonstration of Project Implementation,20%,"(1) Conduct live demonstration; (2) Quality of the demonstration towards the negotiated project requirements; (3) Delineation of work from existing literature, software and dependencies; (4) Preparedness of the demonstration, including setup time, configuration, restarts, and delays.","Excellent demonstration that clearly shows that the project meets the negotiated requirements.","Good demonstration that mostly shows that the project meets the negotiated requirements, but minor aspects of the project may have issues or errors.","Sufficient demonstration that shows that the project meets the majority of the negotiated requirements, but significant aspects of the requirements are missing.","A demonstration is conducted that shows that final state of the project, however, the demonstration does not meet minimal requirements.",Insufficient for Poor category
,,,,"Demonstration clearly distinguishes the student's work from existing literature, software and dependencies.","Demonstration distinguishes the student's work from existing literature, software and dependencies, with minor issues.","Demonstration may not satisfactorily distinguish the student's work from existing literature, software and dependencies, however, the work is satisfactorily original.","The student's work is not distinguished from existing literature, software and dependencies.",
,,,,"Demonstration is well-prepared, is conducted live, and fully ready to be conducted.","Demonstration is mostly well-prepared, and is conducted live. Minimal time is lost for issues.","Demonstration is prepared, and is conducted live. Significant time is lost for issues.","Demonstration is ill prepared, and not conducted live. Demonstration significantly depends on supplementary material or recordings.",
Demonstration,Demonstration of Evaluation and Results,10%,"(1) Quality of the demonstration and discussion of the evaluation of the work against the negotiated requirements.","Excellent discussion of the evaluation of the work, that clearly presents the strengths and weaknesses.","Good discussion of the evaluation of the work, that presents the strengths and weaknesses.","Satisfactory discussion of the evaluation of the work, with a minimally satisfactory coverage of the strengths and weaknesses.","Attempt at discussing of the evaluation of the work.",Insufficient for Poor category
,,,,"Conducts a demonstration of some results.","Conducts a demonstration of some results.","May conduct a demonstration of minimal results.",,
Demonstration,Individual Contributions,10%,"(1) Teamwork Organisation: regularity activity, timeframe of completion of tasks; (2) Teamwork Contribution: quality, and regularity; (3) Teamwork Communication: regularity and suitability.","Team member has significant activity, and regular completion of tasks over the entire course of the assessment as evident in project materials.","Team member has satisfactory activity, and regular completion of tasks for the majority of the assessment as evident in project materials.","Team member has some lack of regular activity, and/or late completion of tasks at times during the assessment, as evident in project materials.","Team member has sporadic or late activity, and/or an untimely completion of tasks, throughout the assessment as evident in project materials.",Insufficient contribution
,,,,"Team member has significant and regular contribution to project over the entire course of the assessment as evident in project materials.","Team member has satisfactory and regular contribution to project for the majority of the assessment as evident in project materials.","Team member has some lack of regular contribution to the project at times during the assessment as evident in project materials.","Team member has some contribution to the project, but the contributions are minimally sufficient and on an irregular basis throughout the assessment, as evident in project materials.",
,,,,"Team member maintains regular communication with the other team member(s) as evident in project materials.","Team member maintains satisfactory communication with the other team member(s) as evident in project materials.","Team member has some lack of regular communication with the other team member(s) at times during the assessment.","Team member has minimal, inconsistent and/or irregular communication with the other team member(s).",
Final Report,Methodology and Analysis,20%,"(1) Description of methodology and approach towards completing the negotiated requirements of the project; (2) Technical description of project including software, launch files, configuration, and implementation; (3) Description of the implemented software; (4) Description and Justification of the choice of Robot Software Architecture; (5) Analysis of the software capabilities.","Excellent description of methodology, providing a complete picture of how the project is completed.","Good description of methodology, providing a mostly complete picture of how the project is completed, with some minor questions remaining.","Satisfactory description of methodology, providing how the project is completed, with some important questions remaining.","The report is minimally attempted but does not provide a suitable picture of how the project is completed.",Insufficient for Poor category
,,,,"Excellent and complete technical description of the ROS package components.","Good and mostly complete technical description of the ROS package components. Some details are missing.","Fair technical description of the ROS package components. Important details are missing, without which the package cannot be sufficiently understood.","Attempt at describing the ROS software, but it is sparse, poorly described, and significantly incomplete.",
,,,,"Excellent and complete description of the Robot Software Architecture, with excellent justification with well-supported reasoning.","Good and mostly complete description of the Robot Software Architecture, with good justification however, there are some flaws.","Fair description of the Robot Software Architecture with a satisfactory justification. The choice is suitable, however, the reasoning is missing critical information.","Attempt at describing and justifying the choice of Robot Software Architecture, however, there are better approaches, and/or the description is poor and significantly incomplete.",
,,,,"Excellent analysis of the final deliverable, providing a clear understanding of software capabilities, with supporting evidence.","Good analysis of the final deliverable, providing an understanding of the software capabilities, with supporting evidence, but has some flaws.","Satisfactory analysis of the final deliverable, but has a limited understanding of the software capabilities, but has important gaps, and limited supporting evidence.","Minimal to no analysis of the final deliverable, with minimal supporting evidence.",
Final Report,"Extended Infrastructure, Architecture, and/or Implementation",10%,"Specific consideration of extended work of implemented: (1) ROS2 Infrastructure (2) Robot Software Architecture (3) Additional algorithms/methods","The implementation constituting the extended work is clear.","The implementation constituting the extended work is clear.","The implementation constituting the extended work is satisfactorily separate.","The implementation constituting the extended work is satisfactorily separate.",Insufficient for Poor category
,,,,"Satisfies the Excellent category of Methodology and Analysis above.","Satisfies the Good category of Methodology and Analysis above.","Satisfies the Fair category of Methodology and Analysis above.","Satisfies the Poor category of Methodology and Analysis above.",
Final Report,Writing Style and Referencing,10%,"(1) Quality of written report, including figures and tables; (2) Appropriate citation and referencing; (3) Inclusion of Log of the use of AI tools.","Report is well-written and adheres to the academic writing practices. Figures and tables are clear and legible.","Report is mostly well-written and adheres to the academic writing practices, with minor issues. Figures and tables are legible.","Report is satisfactorily written and can be satisfactorily understood. Some figures and tables are provided, it is not easy to interpret their relevance.","Report does not adhere to the academic writing practices, but is readable. Figures and tables may be missing.",Insufficient for Poor category
,,,,"All relevant literature and dependent software is fully cited, with a consistent and legible referencing format.","All relevant literature and dependent software is fully cited, with a consistent and legible referencing format.","Most relevant literature and dependent software is correctly cited with a consistent and legible referencing format.","Some relevant literature and dependent software is correctly cited with a consistent and legible referencing format.",
,,,,"Log of the use of AI Tools is provided.","Log of the use of AI Tools is provided.","Log of the use of AI Tools is provided.","Log of the use of AI Tools may not be provided.",
